Date,BTC Price,MVRV Ratio,mvrv,row_number,oversold,overbought,Adjusted_MVRV
2023-06-11,25906.8281516657,1.2822040288417222,0.35862584696273103,4712,-0.4664984156767922,1.938347751852957,0.20097779879635094
2023-06-12,25906.7519354179,1.2824151322092157,0.358863354181511,4713,-0.4663597674963267,1.938198776061249,0.20104998676948452
2023-06-13,25880.8599734074,1.2812885268814733,0.3575953854611529,4714,-0.4662211385365147,1.9380498224600196,0.20057215078066565
2023-06-14,25097.5853796026,1.2427581337065838,0.31354554558166936,4715,-0.46608252879202894,1.9379008910426627,0.18468601154562142
2023-06-15,25559.1433293396,1.2657947102322857,0.340043443829944,4716,-0.4659439382575403,1.9377519818025686,0.19416595127577246
2023-06-16,26331.8200943892,1.3037420366346197,0.3826584406700037,4717,-0.4658053669277269,1.9376030947331362,0.20975320409505163
2023-06-17,26514.1713495032,1.3128061477344335,0.3926538999706717,4718,-0.4656668147972649,1.9374542298277628,0.21345725534312165
2023-06-18,26353.962682934,1.304485514887462,0.3834809244420271,4719,-0.4655282818608395,1.9373053870798493,0.21003082402775278
2023-06-19,26778.0634415547,1.3260022672931944,0.40708324227542625,4720,-0.46538976811312693,1.9371565664828054,0.21883679395834593
2023-06-20,28305.4204573349,1.401058308785737,0.486516998627776,4721,-0.4652512735488177,1.9370077680300337,0.24938313481818375
2023-06-21,30099.5153509643,1.487688159529106,0.5730721488590232,4722,-0.4651127981625969,1.9368589917149492,0.28415822918617245
2023-06-22,29952.5112866745,1.479224774258553,0.5648412925106759,4723,-0.4649743419491532,1.9367102375309635,0.2807794163686607
2023-06-23,30638.3537644652,1.5114610325509754,0.5959437848735617,4724,-0.46483590490317894,1.9365615054714933,0.2935903231285293
2023-06-24,30549.0162872589,1.506266238890656,0.5909767949630026,4725,-0.4646974870193663,1.9364127955299608,0.2915256356220999
2023-06-25,30467.4403705435,1.501725462895068,0.5866210914663118,4726,-0.46455908829241466,1.9362641076997846,0.2897179994592154
2023-06-26,30255.8861241964,1.490477217783059,0.5757743236399875,4727,-0.464420708717018,1.936115441974394,0.28523957928810717
2023-06-27,30667.0762948568,1.5089931365607137,0.593586243987631,4728,-0.46428234828788106,1.9359667983472164,0.2925924388853293
2023-06-28,30104.0432717709,1.480047953676206,0.5656439200502269,4729,-0.46414400699970315,1.9358181768116811,0.2810703898683043
2023-06-29,30460.792978083,1.4974352166995872,0.582493589279212,4730,-0.46400568484718896,1.9356695773612262,0.28799151034377773
2023-06-30,30484.503257744,1.497404119430677,0.5824636284895949,4731,-0.4638673818250485,1.9355209999892864,0.2879736942601842
2023-07-01,30581.6889655172,1.5000714043881818,0.5850311755910919,4732,-0.46372909792798644,1.9353724446893033,0.28902898466005533
2023-07-02,30594.2164736996,1.5002951207529458,0.5852463189663458,4733,-0.46359083315071814,1.9352239114547185,0.2891126067608645
2023-07-03,31135.3575993571,1.5259223633869043,0.6096815619063866,4734,-0.46345258748795715,1.935075400278981,0.2992704503260962
2023-07-04,30799.9474558738,1.5091483912255907,0.5937346698538328,4735,-0.46331436093441525,1.9349269111555358,0.2926195846925114
2023-07-05,30497.8221282876,1.4940375351407293,0.57921639383073,4736,-0.4631761534848131,1.9347784440778373,0.2866061548090607
2023-07-06,29979.7298094681,1.4704917374140678,0.5562986778494319,4737,-0.4630379651338714,1.9346299990393394,0.27719978799084827
2023-07-07,30329.8829786674,1.487208780434375,0.5726071930218176,4738,-0.4628997958763126,1.9344815760335017,0.28387285257646244
2023-07-08,30263.6196341321,1.4837881288443524,0.5692851032204309,4739,-0.46276164570685907,1.9343331750537835,0.28250181007266495
2023-07-09,30163.2210563998,1.4786605378613167,0.5642908850565939,4740,-0.4626235146202369,1.934184796093648,0.2804473965355115
2023-07-10,30394.6555806546,1.4895253545355056,0.5748526811915488,4741,-0.4624854026111791,1.9340364391465616,0.284779285755025
2023-07-11,30616.247094097,1.4995365229543443,0.5845166611485836,4742,-0.4623473096744135,1.9338881042059946,0.28876274156614606
2023-07-12,30385.6087852133,1.4877552658881605,0.573137224209211,4743,-0.4622092358046732,1.9337397912654186,0.2840613801861809
2023-07-13,31434.7354704851,1.5385001131814415,0.6215245498048984,4744,-0.46207118099669486,1.9335915003183093,0.3042022531783457
2023-07-14,30310.6720204559,1.483457241083062,0.5689633434231985,4745,-0.4619331452452169,1.9334432313581438,0.28233319789708794
2023-07-15,30290.8905958504,1.4824031441668435,0.5679378464272917,4746,-0.46179512854497773,1.9332949843784046,0.2819058858571497
2023-07-16,30249.7729658095,1.480253300626477,0.5658440706442669,4747,-0.4616571308907176,1.9331467593725744,0.28104028367515105
2023-07-17,30143.7462744009,1.4753996768670457,0.5611058247976374,4748,-0.46151915227718376,1.932998556334141,0.27909208110379563
2023-07-18,29835.7474076563,1.4598558054198796,0.5458258765853223,4749,-0.4613811926991218,1.932850375256594,0.27285311669282214
2023-07-19,29913.0294646406,1.4630372157615867,0.5489664682541172,4750,-0.46124325215127904,1.9327022161334249,0.2741232893465869
2023-07-20,29805.6065707189,1.457534391178157,0.5435299248644114,4751,-0.4611053306284063,1.9325540789581304,0.2719061866120719
2023-07-21,29919.6934921099,1.4634426098141178,0.54936617030422,4752,-0.46096742812525804,1.9324059637242073,0.2742720203685182
2023-07-22,29726.0096271186,1.4539369353369933,0.5399646935699236,4753,-0.4608295446365869,1.9322578704251576,0.27044524512388235
2023-07-23,30066.5724482759,1.4703196041387345,0.5561297885232312,4754,-0.46069168015715256,1.932109799054487,0.2770174058306219
2023-07-24,29178.3597042665,1.4271385095767093,0.5131253610099669,4755,-0.4605538346817113,1.9319617496057013,0.2596221086731867
2023-07-25,29221.2548533022,1.4292385515096284,0.5152467340383725,4756,-0.4604160082050264,1.9318137220723095,0.2604625308240333
2023-07-26,29361.5917580362,1.4360807161873097,0.5221368393911416,4757,-0.4602782007218629,1.9316657164478261,0.26321826055240327
2023-07-27,29201.6865175336,1.4296320643920462,0.5156438972289119,4758,-0.4601404122269841,1.931517732725764,0.26060460806394287
2023-07-28,29316.3130751023,1.4401649785490305,0.5262340895156083,4759,-0.46000264271515867,1.9313697708996465,0.26485058594043637
2023-07-29,29360.376179135,1.442211649972644,0.5282829010277501,4760,-0.459864892181157,1.9312218309629898,0.2656683788712216
2023-07-30,29262.8367337814,1.4373844157915614,0.5234459494701091,4761,-0.45972716061975305,1.9310739129093228,0.26371195890991844
2023-07-31,29219.8201887785,1.435482408870814,0.5215356511369854,4762,-0.459589448025719,1.930926016732169,0.2629355100846265
2023-08-01,29499.5875385739,1.4490240309470583,0.5350815210788763,4763,-0.45945175439383235,1.9307781424250603,0.26839193807763473
2023-08-02,29143.1519620105,1.4320486287547047,0.518080483713954,4764,-0.4593140797188706,1.9306302899815293,0.2615310096528867
2023-08-03,29192.3448617767,1.434367776394685,0.5204149830025714,4765,-0.45917642399561664,1.9304824593951118,0.2624602774104852
2023-08-04,29057.2532437171,1.4276529830629696,0.5136453487969876,4766,-0.4590387872188533,1.930334650659347,0.2597357333033818
2023-08-05,29053.0956975453,1.4274083926545962,0.5133981601564395,4767,-0.45890116938336334,1.9301868637677746,0.2596281328198269
2023-08-06,29048.0433275862,1.4270440436975786,0.5130298622443056,4768,-0.45876357048393857,1.9300390987139409,0.2594720160658302
2023-08-07,29164.3585873758,1.432710437145954,0.5187470582349489,4769,-0.45862599051536357,1.9298913554913923,0.2617567798342336
2023-08-08,29779.511383986,1.4626726769102025,0.5486069531858992,4770,-0.4584884294724354,1.929743634093679,0.27383636432796526
2023-08-09,29582.9442375804,1.4527506564773276,0.5387871065958083,4771,-0.4583508873499422,1.9295959345143547,0.26983353323227854
2023-08-10,29430.1599117475,1.4452220047344255,0.5312911263094746,4772,-0.45821336414268465,1.9294482567469746,0.2667887339746819
