Date,BTC Price,NUPL,Young-NUPL,Old-NUPL,Euphoria (2-of-3),Euphoria (3-of-3),Max Pain
2021-05-28,35596.7179510228,0.4453044642974181,-0.30236702876109023,0.7656106944612217,0.0,0.0,0.0
2021-05-29,34681.8183670368,0.4312349242697585,-0.33726882854989854,0.7592513774325096,0.0,0.0,0.0
2021-05-30,35652.1687703098,0.4462102599021752,-0.301788382858862,0.765790966215954,0.0,0.0,0.0
2021-05-31,37312.9748970193,0.4707287628214105,-0.24580521992496876,0.7755930739076801,0.0,0.0,0.0
2021-06-01,36661.3781184687,0.460889590971231,-0.27161223028992,0.7712644633024432,0.0,0.0,0.0
2021-06-02,37639.4556732905,0.4750928855547868,-0.2417413440091753,0.7769784432361811,0.0,0.0,0.0
2021-06-03,39160.1504132086,0.49473006086864296,-0.19631031417843078,0.7855250832446473,0.0,0.0,0.0
2021-06-04,36884.3735551724,0.4643393680653344,-0.2727260039091892,0.7722216974233567,0.0,0.0,0.0
2021-06-05,35409.5672366452,0.4425191771098801,-0.3273553422581217,0.7626200867176607,0.0,0.0,0.0
2021-06-06,35720.6043546464,0.44763262699387246,-0.3171747520261789,0.7645163022303162,0.0,0.0,0.0
2021-06-07,33724.9077517826,0.41607741442765456,-0.3931148453703537,0.7504980573429371,0.0,0.0,0.0
2021-06-08,33475.0489234366,0.4132183028787157,-0.4032787715262142,0.7484965587576599,0.0,0.0,0.0
2021-06-09,37372.9888953828,0.4730352783462632,-0.2570919171865259,0.7746650656287108,0.0,0.0,0.0
2021-06-10,36826.0022185856,0.46558566439179727,-0.27649153401554477,0.7712320237750866,0.0,0.0,0.0
2021-06-11,37185.3931268264,0.4705091145080679,-0.2645444579646066,0.7734215160435748,0.0,0.0,0.0
2021-06-12,35669.1712817066,0.4482882465612405,-0.3188341466937386,0.7611489223364883,0.0,0.0,0.0
2021-06-13,38925.4194289889,0.493984744285414,-0.20874854016590014,0.7810482166917171,0.0,0.0,0.0
2021-06-14,40455.5959833431,0.5121582490765468,-0.16306416136383306,0.7892889773886956,0.0,0.0,0.0
2021-06-15,40254.6514679135,0.5093197063511598,-0.16983414656415124,0.7881126853924267,0.0,0.0,0.0
2021-06-16,38265.5437726476,0.4839748681865737,-0.23184683148829666,0.7764806361875408,0.0,0.0,0.0
2021-06-17,38018.6432346581,0.481189706552527,-0.23987492072578653,0.7740884663614105,0.0,0.0,0.0
2021-06-18,35714.3120787259,0.4482632771274663,-0.31966426878719784,0.7591682577830338,0.0,0.0,0.0
2021-06-19,35555.9763966686,0.44599518949851646,-0.3266054652767438,0.7578966780727601,0.0,0.0,0.0
2021-06-20,35599.9418784337,0.4467373325422189,-0.3249236478973107,0.7571355585488277,0.0,0.0,0.0
2021-06-21,31715.1598624196,0.38099602087745527,-0.4837113778291398,0.7246881290248096,0.0,0.0,0.0
2021-06-22,32394.5555949737,0.3944897852226101,-0.45032396067850067,0.7273514071182254,0.0,0.0,0.0
2021-06-23,33610.4968129749,0.41646668915524915,-0.3971363010850313,0.7369161173307468,0.0,0.0,0.0
2021-06-24,34658.972875979,0.43396402658837097,-0.3544037046108123,0.7448300031381069,0.0,0.0,0.0
2021-06-25,31683.5032004676,0.3868480761168532,-0.48071956474656957,0.7208496818031956,0.0,0.0,0.0
2021-06-26,31890.6764465225,0.39136984796767676,-0.4707087459261695,0.7213727963751322,0.0,0.0,0.0
2021-06-27,34506.4911975453,0.43701804219366036,-0.3591463468252683,0.7364304603463425,0.0,0.0,0.0
2021-06-28,34376.188538983,0.43495675223423247,-0.3635258294853556,0.7348338955709697,0.0,0.0,0.0
2021-06-29,35933.7782178843,0.45936473515074533,-0.30458588704664646,0.7456627036382343,0.0,0.0,0.0
2021-06-30,35065.4661533606,0.4461632873149969,-0.33725391772771757,0.738560726388022,0.0,0.0,0.0
2021-07-01,33505.0804935126,0.42108461921320506,-0.400550100653625,0.7257051806880613,0.0,0.0,0.0
2021-07-02,33782.9459464641,0.42730864157178644,-0.38905477666481875,0.7261346001422839,0.0,0.0,0.0
2021-07-03,34588.2242916423,0.4405444271022286,-0.358981274332627,0.731185679796616,0.0,0.0,0.0
2021-07-04,35355.6078883694,0.45251819095340207,-0.33019212809492704,0.7354286757129376,0.0,0.0,0.0
2021-07-05,33911.7538404442,0.429384054552142,-0.387002820679417,0.72229009315442,0.0,0.0,0.0
2021-07-06,34123.9815680888,0.43303770792035173,-0.37943016351475695,0.7223764764643027,0.0,0.0,0.0
2021-07-07,33931.6186382233,0.42980844745462427,-0.3873350715373975,0.7180102104170939,0.0,0.0,0.0
2021-07-08,32819.6595312098,0.4110682327554948,-0.4338114673931981,0.7033808351746434,0.0,0.0,0.0
2021-07-09,33914.8810742256,0.4298905031736793,-0.38821687740104877,0.7081965294721008,0.0,0.0,0.0
2021-07-10,33610.9458386908,0.4247971076257594,-0.40158445512379665,0.7037482953384256,0.0,0.0,0.0
2021-07-11,34258.4413898305,0.43558636225278274,-0.3750967079492404,0.707302796239394,0.0,0.0,0.0
2021-07-12,33135.2359117475,0.416268539614684,-0.42056462043946163,0.6966839159748733,0.0,0.0,0.0
2021-07-13,32641.9759610169,0.40786759330523176,-0.4402295549308452,0.6913970523098755,0.0,0.0,0.0
2021-07-14,32798.2845189947,0.4110492927126847,-0.43166781103284807,0.6897703599678427,0.0,0.0,0.0
2021-07-15,31707.6900368206,0.39159765862685697,-0.4780631723386532,0.6776053383854442,0.0,0.0,0.0
2021-07-16,31455.7175818819,0.3873354364660012,-0.48678777193646133,0.6750021685759175,0.0,0.0,0.0
2021-07-17,31547.9511990064,0.386653733524806,-0.48010055649907835,0.6748321329873528,0.0,0.0,0.0
2021-07-18,31707.7038527177,0.3899679820254515,-0.47073463659045117,0.6755586576756087,0.0,0.0,0.0
2021-07-19,30883.4697462303,0.3741103565858475,-0.5075404477255776,0.664869586058628,0.0,0.0,0.0
2021-07-20,29766.6577182934,0.3509225598696497,-0.5610081277337708,0.6518826501091606,0.0,0.0,0.0
2021-07-21,32119.6572258328,0.39821439539372544,-0.44394433084305096,0.6765002837065429,0.0,0.0,0.0
2021-07-22,32306.9614285798,0.4013741795125275,-0.4325178025153366,0.6782393162235263,0.0,0.0,0.0
2021-07-23,33439.5957028638,0.42276832200864,-0.3813993406796959,0.6887869072200311,0.0,0.0,0.0
2021-07-24,34166.914654588,0.43490255337685624,-0.34890642622142154,0.695209529298203,0.0,0.0,0.0
2021-07-25,35119.9374360023,0.4500916601564193,-0.30994931669321607,0.7029954845731828,0.0,0.0,0.0
2021-07-26,37444.7825102279,0.48189466768041345,-0.22482100347246248,0.7203989635367687,0.0,0.0,0.0
2021-07-27,39126.5402881356,0.5004473898474647,-0.16921145407981672,0.7317682595314361,0.0,0.0,0.0
2021-07-28,39939.1940432495,0.5083175605101324,-0.1435038861015929,0.7369849279225632,0.0,0.0,0.0
2021-07-29,40086.1643950906,0.5043142761566751,-0.1373325107807863,0.7358155822636654,0.0,0.0,0.0
2021-07-30,41789.6670981882,0.5236194700784662,-0.08998252242330688,0.7460745505565403,0.0,0.0,0.0
2021-07-31,41793.3137481005,0.5233903599428502,-0.08953291580098865,0.7455549932198589,0.0,0.0,0.0
2021-08-01,39968.9689544126,0.5017037918578341,-0.13845527193630972,0.7333956747257153,0.0,0.0,0.0
2021-08-02,39304.1862835769,0.49314056260941697,-0.15696156092333294,0.7285431652745306,0.0,0.0,0.0
2021-08-03,38288.8253975453,0.47994269907256876,-0.18575161272949015,0.7206694149284174,0.0,0.0,0.0
2021-08-04,39773.9113489188,0.49892216466928835,-0.13986007440912848,0.7299184406139123,0.0,0.0,0.0
2021-08-05,40941.650434249,0.5127358127298843,-0.105866501046049,0.7365091566759189,0.0,0.0,0.0
2021-08-06,42790.3573284629,0.5328909722497038,-0.05720228928673285,0.7478780109923533,0.0,0.0,0.0
2021-08-07,44484.9005862069,0.5501351993867791,-0.01623785175119769,0.757313608488823,0.0,0.0,0.0
2021-08-08,43972.3010181181,0.5445895476400711,-0.02759835518490344,0.7539676171246449,0.0,0.0,0.0
2021-08-09,46265.6424564582,0.5659127631127965,0.023627097685794924,0.7618692961981746,0.0,0.0,0.0
2021-08-10,45488.7912624196,0.5578133653678797,0.007816928460962715,0.7546923167154199,0.0,0.0,0.0
2021-08-11,45676.3263611923,0.5591165182048649,0.013380717242170008,0.7539683924855235,0.0,0.0,0.0
2021-08-12,44405.7483483343,0.5461635607435817,-0.013413635990557463,0.7424997793010076,0.0,0.0,0.0
2021-08-13,47717.4853559322,0.5767357223997006,0.058330492257659,0.7602654474629006,0.0,0.0,0.0
2021-08-14,47124.2050736411,0.570411578205102,0.04792768184460529,0.7570868308099498,0.0,0.0,0.0
